"JrnlType","FirstLastCountry","N","Pcnt","cumPcnt"
"OA","JAPAN+PHILIPPINES",1,0.151057401812689,96.0725075528701
"OA","KOREA+USA",1,0.151057401812689,96.2235649546828
"OA","MALAYSIA+MALAYSIA",1,0.151057401812689,96.3746223564955
"OA","MALAYSIA+UNITED KINGDOM",1,0.151057401812689,96.5256797583082
"OA","MEXICO+PERU",1,0.151057401812689,96.6767371601209
"OA","MEXICO+SINGAPORE",1,0.151057401812689,96.8277945619335
"OA","MEXICO+SPAIN",1,0.151057401812689,96.9788519637462
"OA","MYANMAR+THAILAND",1,0.151057401812689,97.1299093655589
"OA","NETHERLANDS+UNITED KINGDOM",1,0.151057401812689,97.2809667673716
"OA","NIGERIA+USA",1,0.151057401812689,97.4320241691843
"OA","NORWAY+NORWAY",1,0.151057401812689,97.583081570997
"OA","PAKISTAN+SINGAPORE",1,0.151057401812689,97.7341389728097
"OA","POLAND+POLAND",1,0.151057401812689,97.8851963746224
"OA","PORTUGAL+UNITED KINGDOM",1,0.151057401812689,98.036253776435
"OA","QATAR+QATAR",1,0.151057401812689,98.1873111782477
"OA","ROMANIA+UNITED KINGDOM",1,0.151057401812689,98.3383685800604
"OA","SAUDI ARABIA+USA",1,0.151057401812689,98.4894259818731
"OA","SENEGAL+USA",1,0.151057401812689,98.6404833836858
"OA","SLOVENIA+SOUTH AFRICA",1,0.151057401812689,98.7915407854985
"OA","SPAIN+UNITED KINGDOM",1,0.151057401812689,98.9425981873112
"OA","SRI LANKA+SRI LANKA",1,0.151057401812689,99.0936555891239
"OA","SRI LANKA+SWEDEN",1,0.151057401812689,99.2447129909366
"OA","SWEDEN+UNITED KINGDOM",1,0.151057401812689,99.3957703927492
"OA","SWEDEN+USA",1,0.151057401812689,99.5468277945619
"OA","SWITZERLAND+UNITED KINGDOM",1,0.151057401812689,99.6978851963746
"OA","TAIWAN+USA",1,0.151057401812689,99.8489425981873
"OA","TAJIKISTAN+USA",1,0.151057401812689,100
"PW","CHINA+CHINA",6187,24.8673633440514,24.8673633440514
"PW","USA+USA",2223,8.93488745980707,33.8022508038585
"PW","CHINA+USA",1141,4.58601286173633,38.3882636655949
"PW","INDIA+INDIA",701,2.81752411575563,41.2057877813505
"PW","JAPAN+JAPAN",622,2.5,43.7057877813505
"PW","BRAZIL+BRAZIL",546,2.19453376205788,45.9003215434084
"PW","KOREA+KOREA",534,2.14630225080386,48.0466237942122
"PW","ITALY+ITALY",455,1.82877813504823,49.8754019292604
"PW","FRANCE+FRANCE",452,1.81672025723473,51.6921221864952
"PW","GERMANY+GERMANY",385,1.54742765273312,53.2395498392283
"PW","IRAN+IRAN",375,1.5072347266881,54.7467845659164
"PW","SPAIN+SPAIN",354,1.42282958199357,56.16961414791
"PW","UNITED KINGDOM+UNITED KINGDOM",287,1.15353697749196,57.3231511254019
"PW","AUSTRALIA+AUSTRALIA",271,1.08922829581994,58.4123794212219
"PW","CANADA+CANADA",257,1.03295819935691,59.4453376205788
"PW","CHINA+UNITED KINGDOM",243,0.976688102893891,60.4220257234727
"PW","AUSTRALIA+CHINA",238,0.956591639871383,61.3786173633441
"PW","TURKEY+TURKEY",237,0.952572347266881,62.3311897106109
"PW","POLAND+POLAND",179,0.719453376205788,63.0506430868167
"PW","TAIWAN+TAIWAN",173,0.695337620578778,63.7459807073955
"PW","CANADA+USA",167,0.671221864951768,64.4172025723473
"PW","AUSTRALIA+USA",165,0.663183279742765,65.08038585209
"PW","CANADA+CHINA",165,0.663183279742765,65.7435691318328
"PW","BRAZIL+USA",125,0.502411575562701,66.2459807073955
"PW","CHINA+HONG KONG",121,0.486334405144695,66.7323151125402
"PW","NETHERLANDS+NETHERLANDS",121,0.486334405144695,67.2186495176849
"PW","MEXICO+MEXICO",119,0.478295819935691,67.6969453376206
"PW","CHINA+SINGAPORE",102,0.409967845659164,68.1069131832797
"PW","UNITED KINGDOM+USA",102,0.409967845659164,68.5168810289389
"PW","CHINA+JAPAN",100,0.401929260450161,68.9188102893891
"PW","PORTUGAL+PORTUGAL",97,0.389871382636656,69.3086816720257
"PW","KOREA+USA",95,0.381832797427653,69.6905144694534
"PW","BELGIUM+BELGIUM",90,0.361736334405145,70.0522508038585
"PW","EGYPT+EGYPT",87,0.34967845659164,70.4019292604502
"PW","INDIA+USA",87,0.34967845659164,70.7516077170418
"PW","FRANCE+USA",85,0.341639871382637,71.0932475884244
"PW","GERMANY+USA",84,0.337620578778135,71.4308681672026
"PW","CHINA+GERMANY",79,0.317524115755627,71.7483922829582
"PW","ITALY+USA",79,0.317524115755627,72.0659163987138
"PW","SWITZERLAND+SWITZERLAND",76,0.305466237942122,72.371382636656
"PW","ARGENTINA+ARGENTINA",70,0.281350482315113,72.6527331189711
"PW","CZECH REPUBLIC+CZECH REPUBLIC",67,0.269292604501608,72.9220257234727
"PW","DENMARK+DENMARK",67,0.269292604501608,73.1913183279743
"PW","THAILAND+THAILAND",67,0.269292604501608,73.4606109324759
"PW","JAPAN+USA",66,0.265273311897106,73.725884244373
"PW","SWEDEN+SWEDEN",65,0.261254019292605,73.9871382636656
"PW","ISRAEL+ISRAEL",61,0.245176848874598,74.2323151125402
"PW","GREECE+GREECE",60,0.241157556270096,74.4734726688103
"PW","SINGAPORE+SINGAPORE",60,0.241157556270096,74.7146302250804
"PW","AUSTRALIA+UNITED KINGDOM",57,0.229099678456592,74.943729903537
"PW","MALAYSIA+MALAYSIA",55,0.221061093247588,75.1647909967846
"PW","FINLAND+FINLAND",52,0.209003215434084,75.3737942122187
"PW","BELGIUM+USA",51,0.204983922829582,75.5787781350482
"PW","EGYPT+SAUDI ARABIA",51,0.204983922829582,75.7837620578778
"PW","CHINA+FRANCE",50,0.20096463022508,75.9847266881029
"PW","CHINA+KOREA",48,0.192926045016077,76.177652733119
"PW","CHINA+NETHERLANDS",48,0.192926045016077,76.3705787781351
"PW","AUSTRIA+AUSTRIA",47,0.188906752411576,76.5594855305466
"PW","CHINA+TAIWAN",47,0.188906752411576,76.7483922829582
"PW","IRAN+USA",47,0.188906752411576,76.9372990353698
"PW","ITALY+SPAIN",45,0.180868167202572,77.1181672025724
"PW","FRANCE+ITALY",40,0.160771704180064,77.2789389067524
"PW","SOUTH AFRICA+SOUTH AFRICA",40,0.160771704180064,77.4397106109325
"PW","CANADA+IRAN",39,0.156752411575563,77.596463022508
"PW","DENMARK+USA",38,0.152733118971061,77.7491961414791
"PW","HUNGARY+HUNGARY",38,0.152733118971061,77.9019292604502
"PW","AUSTRIA+USA",37,0.148713826366559,78.0506430868167
"PW","CHINA+DENMARK",37,0.148713826366559,78.1993569131833
"PW","PORTUGAL+SPAIN",37,0.148713826366559,78.3480707395498
"PW","SPAIN+USA",36,0.144694533762058,78.4927652733119
"PW","CHINA+PAKISTAN",35,0.140675241157556,78.6334405144695
"PW","GERMANY+UNITED KINGDOM",35,0.140675241157556,78.774115755627
"PW","MEXICO+USA",35,0.140675241157556,78.9147909967846
"PW","NETHERLANDS+USA",35,0.140675241157556,79.0554662379421
"PW","SWITZERLAND+USA",35,0.140675241157556,79.1961414790997
"PW","CHILE+CHILE",33,0.132636655948553,79.3287781350482
"PW","NEW ZEALAND+NEW ZEALAND",33,0.132636655948553,79.4614147909968
"PW","AUSTRIA+GERMANY",32,0.128617363344051,79.5900321543408
"PW","TAIWAN+USA",32,0.128617363344051,79.7186495176849
"PW","BRAZIL+UNITED KINGDOM",31,0.12459807073955,79.8432475884244
"PW","CHINA+NEW ZEALAND",31,0.12459807073955,79.967845659164
"PW","GERMANY+SWITZERLAND",31,0.12459807073955,80.0924437299035
"PW","BELGIUM+UNITED KINGDOM",30,0.120578778135048,80.2130225080386
"PW","CANADA+FRANCE",30,0.120578778135048,80.3336012861736
"PW","EGYPT+USA",30,0.120578778135048,80.4541800643087
"PW","FRANCE+SPAIN",30,0.120578778135048,80.5747588424437
"PW","NORWAY+NORWAY",29,0.116559485530547,80.6913183279743
"PW","SERBIA+SERBIA",29,0.116559485530547,80.8078778135048
"PW","SLOVENIA+SLOVENIA",29,0.116559485530547,80.9244372990354
"PW","CHINA+INDIA",28,0.112540192926045,81.0369774919614
"PW","GERMANY+SPAIN",28,0.112540192926045,81.1495176848875
"PW","GREECE+USA",28,0.112540192926045,81.2620578778135
"PW","INDIA+KOREA",28,0.112540192926045,81.3745980707396
"PW","CHINA+IRELAND",27,0.108520900321543,81.4831189710611
"PW","GERMANY+NETHERLANDS",27,0.108520900321543,81.5916398713826
"PW","ISRAEL+USA",27,0.108520900321543,81.7001607717042
"PW","ITALY+UNITED KINGDOM",27,0.108520900321543,81.8086816720257
"PW","BELGIUM+FRANCE",26,0.104501607717042,81.9131832797428
"PW","CHINA+ITALY",26,0.104501607717042,82.0176848874598
"PW","FRANCE+UNITED KINGDOM",26,0.104501607717042,82.1221864951768
"PW","SAUDI ARABIA+SAUDI ARABIA",26,0.104501607717042,82.2266881028939
"PW","BRAZIL+PORTUGAL",25,0.10048231511254,82.3271704180064
"PW","CHINA+SWEDEN",25,0.10048231511254,82.427652733119
"PW","GERMANY+ITALY",25,0.10048231511254,82.5281350482315
"PW","SPAIN+UNITED KINGDOM",25,0.10048231511254,82.628617363344
"PW","CHINA+SAUDI ARABIA",24,0.0964630225080386,82.7250803858521
"PW","ROMANIA+ROMANIA",24,0.0964630225080386,82.8215434083601
"PW","ARGENTINA+USA",23,0.092443729903537,82.9139871382637
"PW","CHINA+IRAN",23,0.092443729903537,83.0064308681672
"PW","CHINA+SPAIN",23,0.092443729903537,83.0988745980707
"PW","FRANCE+TUNISIA",23,0.092443729903537,83.1913183279743
"PW","PAKISTAN+PAKISTAN",23,0.092443729903537,83.2837620578778
"PW","AUSTRALIA+IRAN",22,0.0884244372990354,83.3721864951768
"PW","CHILE+SPAIN",22,0.0884244372990354,83.4606109324759
"PW","IRELAND+IRELAND",22,0.0884244372990354,83.5490353697749
"PW","RUSSIA+RUSSIA",22,0.0884244372990354,83.637459807074
"PW","ARGENTINA+SPAIN",21,0.0844051446945338,83.7218649517685
"PW","BRAZIL+SPAIN",21,0.0844051446945338,83.806270096463
"PW","CHINA+TURKEY",21,0.0844051446945338,83.8906752411576
"PW","INDIA+SAUDI ARABIA",21,0.0844051446945338,83.9750803858521
"PW","CANADA+UNITED KINGDOM",20,0.0803858520900322,84.0554662379421
"PW","FRANCE+GERMANY",20,0.0803858520900322,84.1358520900322
"PW","FRANCE+SWITZERLAND",20,0.0803858520900322,84.2162379421222
"PW","IRAN+TURKEY",20,0.0803858520900322,84.2966237942122
"PW","TUNISIA+TUNISIA",20,0.0803858520900322,84.3770096463023
"PW","AUSTRALIA+INDIA",19,0.0763665594855305,84.4533762057878
"PW","AUSTRALIA+KOREA",19,0.0763665594855305,84.5297427652733
"PW","AUSTRALIA+SWITZERLAND",19,0.0763665594855305,84.6061093247588
"PW","CHINA+EGYPT",19,0.0763665594855305,84.6824758842444
"PW","HONG KONG+HONG KONG",19,0.0763665594855305,84.7588424437299
"PW","TURKEY+USA",19,0.0763665594855305,84.8352090032154
"PW","BELGIUM+GERMANY",18,0.0723472668810289,84.9075562700965
"PW","CANADA+ITALY",18,0.0723472668810289,84.9799035369775
"PW","CHINA+MALAYSIA",18,0.0723472668810289,85.0522508038585
"PW","COLOMBIA+COLOMBIA",18,0.0723472668810289,85.1245980707396
"PW","FRANCE+LEBANON",18,0.0723472668810289,85.1969453376206
"PW","MOROCCO+MOROCCO",18,0.0723472668810289,85.2692926045016
"PW","PAKISTAN+SAUDI ARABIA",18,0.0723472668810289,85.3416398713826
"PW","SINGAPORE+USA",18,0.0723472668810289,85.4139871382637
"PW","AUSTRALIA+CANADA",17,0.0683279742765273,85.4823151125402
"PW","AUSTRALIA+NEW ZEALAND",17,0.0683279742765273,85.5506430868167
"PW","AUSTRALIA+SPAIN",17,0.0683279742765273,85.6189710610932
"PW","BANGLADESH+USA",17,0.0683279742765273,85.6872990353698
"PW","BELGIUM+NETHERLANDS",17,0.0683279742765273,85.7556270096463
"PW","BRAZIL+CANADA",17,0.0683279742765273,85.8239549839228
"PW","CHILE+USA",17,0.0683279742765273,85.8922829581994
"PW","CHINA+FINLAND",17,0.0683279742765273,85.9606109324759
"PW","COLOMBIA+USA",17,0.0683279742765273,86.0289389067524
"PW","CROATIA+CROATIA",17,0.0683279742765273,86.0972668810289
"PW","DENMARK+UNITED KINGDOM",17,0.0683279742765273,86.1655948553055
"PW","HONG KONG+USA",17,0.0683279742765273,86.233922829582
"PW","INDIA+UNITED KINGDOM",17,0.0683279742765273,86.3022508038585
"PW","IRELAND+UNITED KINGDOM",17,0.0683279742765273,86.3705787781351
"PW","BRAZIL+FRANCE",16,0.0643086816720257,86.4348874598071
"PW","CHINA+NORWAY",16,0.0643086816720257,86.4991961414791
"PW","CHINA+SWITZERLAND",16,0.0643086816720257,86.5635048231511
"PW","CZECH REPUBLIC+USA",16,0.0643086816720257,86.6278135048232
"PW","DENMARK+SWEDEN",16,0.0643086816720257,86.6921221864952
"PW","FRANCE+JAPAN",16,0.0643086816720257,86.7564308681672
"PW","ITALY+SWITZERLAND",16,0.0643086816720257,86.8207395498392
"PW","AUSTRALIA+GERMANY",15,0.0602893890675241,86.8810289389068
"PW","AUSTRIA+UNITED KINGDOM",15,0.0602893890675241,86.9413183279743
"PW","BRAZIL+GERMANY",15,0.0602893890675241,87.0016077170418
"PW","CHINA+THAILAND",15,0.0602893890675241,87.0618971061093
"PW","FINLAND+USA",15,0.0602893890675241,87.1221864951768
"PW","IRAN+UNITED KINGDOM",15,0.0602893890675241,87.1824758842444
"PW","MEXICO+SPAIN",15,0.0602893890675241,87.2427652733119
"PW","CHINA+SOUTH AFRICA",14,0.0562700964630225,87.2990353697749
"PW","COLOMBIA+SPAIN",14,0.0562700964630225,87.3553054662379
"PW","IRAN+ITALY",14,0.0562700964630225,87.411575562701
"PW","SOUTH AFRICA+USA",14,0.0562700964630225,87.467845659164
"PW","AUSTRALIA+ITALY",13,0.0522508038585209,87.5200964630225
"PW","AUSTRALIA+MALAYSIA",13,0.0522508038585209,87.572347266881
"PW","ITALY+NETHERLANDS",13,0.0522508038585209,87.6245980707396
"PW","KENYA+USA",13,0.0522508038585209,87.6768488745981
"PW","POLAND+UKRAINE",13,0.0522508038585209,87.7290996784566
"PW","POLAND+USA",13,0.0522508038585209,87.7813504823151
"PW","SAUDI ARABIA+USA",13,0.0522508038585209,87.8336012861736
"PW","SWEDEN+USA",13,0.0522508038585209,87.8858520900322
"PW","AUSTRALIA+SWEDEN",12,0.0482315112540193,87.9340836012862
"PW","BRAZIL+ITALY",12,0.0482315112540193,87.9823151125402
"PW","CANADA+GERMANY",12,0.0482315112540193,88.0305466237942
"PW","EGYPT+JAPAN",12,0.0482315112540193,88.0787781350482
"PW","GERMANY+POLAND",12,0.0482315112540193,88.1270096463023
"PW","IRELAND+USA",12,0.0482315112540193,88.1752411575563
"PW","UKRAINE+UKRAINE",12,0.0482315112540193,88.2234726688103
"PW","ALGERIA+FRANCE",11,0.0442122186495177,88.2676848874598
"PW","AUSTRALIA+FRANCE",11,0.0442122186495177,88.3118971061093
"PW","AUSTRALIA+NETHERLANDS",11,0.0442122186495177,88.3561093247588
"PW","BELGIUM+CHINA",11,0.0442122186495177,88.4003215434084
"PW","EGYPT+GERMANY",11,0.0442122186495177,88.4445337620579
"PW","FRANCE+INDIA",11,0.0442122186495177,88.4887459807074
"PW","FRANCE+IRAN",11,0.0442122186495177,88.5329581993569
"PW","FRANCE+PORTUGAL",11,0.0442122186495177,88.5771704180064
"PW","GREECE+UNITED KINGDOM",11,0.0442122186495177,88.621382636656
"PW","NORWAY+USA",11,0.0442122186495177,88.6655948553055
