"Richness","InvSimp"
39,6.56392742796158
37,6.98257655755016
40,6.28321576963958
39,6.1738086209076
46,7.88794290722424
38,8.10555936856555
34,6.54478601567209
41,5.97706511175899
47,8.25714285714286
39,6.15876246692449
43,7.93241023233983
42,6.67241379310345
44,7.6400384985563
42,6.3377245508982
44,8.47451644783284
38,8.70432357043236
37,5.80725856059053
44,7.85822168087698
39,7.77472021066491
40,5.69628445864962
37,7.28622117090479
41,6.26621014337685
42,7.22386511024643
38,6.65432098765432
47,8.71228800952098
44,7.65686004949134
42,8.17983519146874
36,5.97722441542666
38,6.9590616375345
39,7.18583719391132
48,6.44067592033796
42,7.26272022551092
39,7.81024313048482
38,8.43579304495335
40,7.49763460238792
38,7.32816662630177
44,7.90849205212659
41,7.97353603603604
37,6.43828142759718
42,7.76417910447761
44,8.41837968561064
40,8.36219693221178
37,5.32924315303818
40,7.05808725240005
43,8.3726618705036
44,6.45317068252848
41,7.64783520414457
38,8.09567949725059
41,6.76104082119838
41,7.15280464216634
43,6.24262607040913
45,9.59122174909925
42,8.42602118003026
39,6.90600522193211
47,6.43664573328408
37,7.97578147000845
36,6.06859205776173
46,6.86131100353265
43,7.05177922220998
39,6.67449807774455
39,7.14273617999274
43,6.85966900929494
44,6.98916967509025
48,7.87785848802798
43,7.80306214350045
36,7.30255319148936
42,6.41367539050378
38,7.12132291839787
40,6.72406718810104
39,7.0762470922719
38,6.93778265040428
39,7.12254360786045
43,8.34956183057449
43,7.50781358041765
45,5.64417332772402
43,7.48779766306759
38,5.51012363375739
46,7.70726817042607
43,6.94625982010703
42,7.38548691664419
35,5.86854602404769
40,9.78589909443726
41,6.93140794223827
36,6.81640009011039
43,7.46753246753247
50,8.15921329899321
40,6.52234881682734
42,5.92121096361379
43,8.18783249215659
42,7.20951659724852
41,7.93396226415094
37,5.8597796963382
40,7.54004313443566
39,7.61498496035001
39,6.08241194574262
47,7.28016979987871
44,9.96966037735849
40,7.3777423214998
40,7.1929298981426
39,6.98175668750641
39,7.4844995571302
39,6.58738800045367
38,8.72860310421286
39,9.63323782234957
41,7.39746014590651
40,7.25292501780446
48,7.93190611297395
38,7.34668082846521
38,6.22927473356597
34,6.26488939307998
36,6.77831477201093
35,6.89229532667356
41,8.23540793292486
37,7.09183890901342
41,6.2015625
43,8.30856901646264
42,7.39427549194991
40,7.62899911945994
36,5.68648407926965
42,8.28532311062432
40,7.70920030082728
39,6.44459930313589
49,8.09431266076022
37,6.1268904858951
46,7.30384293068359
47,7.28859630494797
39,5.8660351826793
40,7.15457413249211
40,7.59038850213339
40,8.47229551451187
44,7.70315682281059
37,6.17734657039711
38,7.0452907874421
40,6.43468912381294
44,7.24821651002152
46,6.46092071032689
36,6.64371796647735
40,5.41757631822387
39,6.24126223287398
39,7.41931168673234
43,6.9255007016201
46,7.26997635933806
43,7.24443344878773
48,9.49521877716604
38,6.51735925648969
41,7.39590942293645
44,7.52176057206263
43,6.470456077286
40,7.81097468546309
41,7.50012597631645
42,8.64289506282074
45,6.50229386236826
44,6.62308286439369
40,5.96617766911166
42,7.40388852883992
38,7.08142493638677
43,7.1312750412444
40,6.12638211865414
43,6.83251024482505
42,9.17178628621342
42,7.42104013298504
40,8.3426169206516
42,7.68141204042771
42,9.52492913123228
44,6.63314545634332
40,7.27848101265823
37,8.01009081735621
39,7.75483214649034
42,6.13549211759693
41,6.40923533149756
53,7.87538983050848
43,5.74146424324783
43,6.67342117219446
43,7.42622554938421
41,7.04655870445344
42,6.69475087889441
40,6.17680608365019
36,6.4915715631871
35,7.04828462515883
40,9.70119156736938
37,6.70478028840695
40,7.21958674654603
39,7.62618384401114
44,6.81486486486486
42,6.70321499633469
39,5.92552287026016
41,6.16867469879518
33,7.05537459283388
43,5.76611226611227
45,8.63300811096744
38,9.72006220839813
38,8.50791412004388
38,6.20435906077969
40,5.90130674002751
43,8.90988803453393
42,7.17235134319348
43,7.39508700102354
39,6.57936179030253
39,6.13960546282246
45,6.68138195777351
40,5.70683062932727
46,8.46011858149681
42,8.07394591823657
45,6.88460277565293
39,6.75322878228782
45,6.0226546616323
41,7.99207606973059
37,9.68613845409069
41,6.96002300834052
41,6.70742952949806
39,7.605122096486
38,6.30798898071625
39,6.52234881682734
37,7.83510306058713
45,7.78651685393258
38,7.25863552550707
40,6.45794585658194
43,6.16439325047994
42,7.26455144676572
43,8.67287964167028
41,6.6632469592808
45,7.41146757679181
44,8.16129032258065
35,6.81748400852879
42,6.56750769230769
39,6.71037895559318
46,7.33123353567747
38,8.29264645915455
43,7.671680768829
41,9.63323782234957
40,7.51626773684965
46,8.12889131622064
45,8.28562927700089
35,6.54317191903664
41,6.08442555201322
44,7.2112676056338
45,7.77442006269592
35,5.22480916030534
39,7.75278121137207
40,7.55742768885145
42,7.50120019203072
38,6.22288966171356
39,7.32276657060519
43,8.54720933712405
45,5.64936519790889
47,8.74514877102199
43,7.1188355420378
39,6.1815308195981
41,6.09994144056217
38,7.43084483969108
40,5.19382192610539
40,8.12507231285433
34,6.23208443271768
39,6.66560663004722
45,7.38668073631141
35,6.90909090909091
40,7.88468534012368
40,7.41787261011936
37,6.64702246033381
45,6.36458965248288
40,6.88439041174446
43,8.39136622390892
44,8.00416449765747
42,8.13968216035369
43,6.57835543766578
41,7.45375687232743
38,7.61340571158839
40,7.0808231064832
48,6.58189553297093
48,8.4343665190687
38,7.07227914705068
42,7.0029123643103
