Richness,InvSimp,Shannon,Even,author,Dataset,BootType
43,15.401408450704228,3.219584011810019,0.8559991260173431,solo,All Countries,MirrorvPW
44,13.447354064375341,3.161989880988695,0.8355791297157267,solo,All Countries,MirrorvPW
43,14.41746592629985,3.159954754648129,0.8401453412338407,solo,All Countries,MirrorvPW
38,12.58244002041858,3.0418441645599716,0.8362260111493208,solo,All Countries,MirrorvPW
42,13.16819012797075,3.1267002138527307,0.8365373436319813,solo,All Countries,MirrorvPW
42,13.724388032638258,3.137137245982278,0.8393297338631813,solo,All Countries,MirrorvPW
47,11.455562461155997,3.062311412174475,0.7953750684296719,solo,All Countries,MirrorvPW
41,12.826484018264841,3.0922197157464058,0.8326806805423503,solo,All Countries,MirrorvPW
42,12.770426464726985,3.0411937222518293,0.8136603907887889,solo,All Countries,MirrorvPW
41,11.239477503628446,3.035201713347515,0.8173267298515556,solo,All Countries,MirrorvPW
41,11.640477374440575,3.1092303660113982,0.8372613511095137,solo,All Countries,MirrorvPW
39,9.67828418230563,2.868665343488821,0.78302636084189,solo,All Countries,MirrorvPW
43,12.50067234424025,3.1122757846997655,0.8274688102113558,solo,All Countries,MirrorvPW
42,12.675252989880404,3.1037644468170824,0.8304009620418444,solo,All Countries,MirrorvPW
40,11.277533039647578,3.052969278300919,0.8276142704788486,solo,All Countries,MirrorvPW
43,14.563467492260061,3.1812797016264085,0.845815060026335,solo,All Countries,MirrorvPW
44,13.305613305613306,3.1710129009642847,0.83796352924336,solo,All Countries,MirrorvPW
37,12.11356013416387,3.0242932657643564,0.8375414060713745,solo,All Countries,MirrorvPW
44,10.79890933878664,3.044234692375427,0.8044614532764145,solo,All Countries,MirrorvPW
44,17.27390599675851,3.327470470952504,0.8793085951950942,solo,All Countries,MirrorvPW
45,12.902439024390246,3.134969383153308,0.8235480270651631,solo,All Countries,MirrorvPW
46,13.902425267907502,3.1899055701507737,0.8331690643777584,solo,All Countries,MirrorvPW
46,9.005173900546135,2.936019865548921,0.7668568459405163,solo,All Countries,MirrorvPW
37,9.519294658829542,2.843924727809112,0.7875905231328136,solo,All Countries,MirrorvPW
43,19.69140625,3.338932494061212,0.887730615589837,solo,All Countries,MirrorvPW
44,10.922600619195046,3.0905073373968324,0.8166893407497737,solo,All Countries,MirrorvPW
39,11.690809494826537,2.9796660103153276,0.813324927523243,solo,All Countries,MirrorvPW
50,17.611246943765284,3.3829740066489564,0.8647633211652628,solo,All Countries,MirrorvPW
40,14.890016017084893,3.186709867025503,0.8638693420766568,solo,All Countries,MirrorvPW
43,18.10658307210031,3.2928813302717486,0.8754868735997962,solo,All Countries,MirrorvPW
41,12.258887876025524,3.0560985469840385,0.822953881623803,solo,All Countries,MirrorvPW
44,12.937089201877933,3.126223055826327,0.8261274825673427,solo,All Countries,MirrorvPW
41,12.190476190476188,3.067151873267447,0.8259303490478533,solo,All Countries,MirrorvPW
41,12.889980353634579,3.1015134373155027,0.8351833171957289,solo,All Countries,MirrorvPW
41,15.53867403314917,3.19797080806877,0.8611575999134655,solo,All Countries,MirrorvPW
44,18.43144424131627,3.3287024379941355,0.8796341515653642,solo,All Countries,MirrorvPW
45,18.764084507042256,3.346914074313052,0.8792253275164915,solo,All Countries,MirrorvPW
43,9.732525629077353,2.9764081115951937,0.7913453206534177,solo,All Countries,MirrorvPW
42,12.585978209379439,3.135620540686182,0.8389239448419481,solo,All Countries,MirrorvPW
43,17.448132780082986,3.2889350883569928,0.8744376760582215,solo,All Countries,MirrorvPW
42,13.816432657306294,3.1447748171891887,0.8413731384406085,solo,All Countries,MirrorvPW
42,13.517241379310342,3.1070556809225036,0.831281519833609,solo,All Countries,MirrorvPW
39,9.24977856510186,2.8481534055904656,0.7774274546736193,solo,All Countries,MirrorvPW
42,10.625,3.06708741700766,0.8205881552517494,solo,All Countries,MirrorvPW
44,13.95020746887967,3.162049875040481,0.8355949835860635,solo,All Countries,MirrorvPW
44,12.810673443456164,3.1742426915365702,0.8388170252054378,solo,All Countries,MirrorvPW
39,17.01226053639847,3.190532591722423,0.8708827365012535,solo,All Countries,MirrorvPW
41,10.953751284686536,3.07044295202017,0.826816578988624,solo,All Countries,MirrorvPW
42,16.605086013462977,3.2482739632545914,0.8690639609678648,solo,All Countries,MirrorvPW
44,9.608540925266903,2.9901922342061944,0.7901803354157126,solo,All Countries,MirrorvPW
47,13.465818010372463,3.1684250035757766,0.822935983588917,solo,All Countries,MirrorvPW
40,14.853868194842407,3.1663326232420186,0.8583453763204001,solo,All Countries,MirrorvPW
44,14.320079522862821,3.235145476202351,0.8549110349030227,solo,All Countries,MirrorvPW
40,16.79020979020979,3.2100752155901207,0.8702033383091875,solo,All Countries,MirrorvPW
42,12.43791469194313,3.0749499590064144,0.8226917499515843,solo,All Countries,MirrorvPW
45,12.504100337674869,3.130832355862703,0.8224612411203301,solo,All Countries,MirrorvPW
46,16.3102511880516,3.3017352578967056,0.8623777773819277,solo,All Countries,MirrorvPW
44,13.76458546571136,3.167576298216802,0.8370553816397939,solo,All Countries,MirrorvPW
43,8.952432432432431,2.9140139172820425,0.774756414880281,solo,All Countries,MirrorvPW
48,16.455840455840455,3.306321947775458,0.8540817018954139,solo,All Countries,MirrorvPW
47,14.131358300726664,3.1979606793476583,0.83060729358201,solo,All Countries,MirrorvPW
41,15.512747875354107,3.193299718774123,0.8598997572728103,solo,All Countries,MirrorvPW
43,14.500680272108847,3.2250246614012728,0.8574456455919205,solo,All Countries,MirrorvPW
39,15.200000000000001,3.167130462507472,0.8644949282765239,solo,All Countries,MirrorvPW
41,10.659626320064987,3.0496594610263656,0.8212199484074787,solo,All Countries,MirrorvPW
43,14.218052256532069,3.1265267297079955,0.8312577458090039,solo,All Countries,MirrorvPW
45,9.852468768590125,2.971079121684524,0.7804944960759544,solo,All Countries,MirrorvPW
47,15.932869219293886,3.2597112681077185,0.8466457926599761,solo,All Countries,MirrorvPW
45,15.350775193798448,3.212118449373713,0.8438148793084939,solo,All Countries,MirrorvPW
45,13.359914712153518,3.11854774473938,0.8192341068113821,solo,All Countries,MirrorvPW
45,11.17871986699917,3.0771696232594072,0.8083641855637883,solo,All Countries,MirrorvPW
