Richness,InvSimpsons,Code,Shannon,Even,Code.numeric,Change_in_Div,above_upper_ci,below_lower_ci,Effect on Diversity
133,17.336444468514948,GRD,3.4461381442438546,0.7046814151481556,54,-0.0031,FALSE,FALSE,None
133,17.337981078402986,GUF,3.446412793405306,0.7047375766111208,55,-0.0015,FALSE,FALSE,None
133,17.336444468514948,HKG,3.4461381442438546,0.7046814151481556,56,-0.0031,FALSE,FALSE,None
133,17.271549693475823,HRV,3.4392102191761698,0.7032647626994164,57,-0.068,FALSE,FALSE,None
133,17.23342307394569,HUN,3.4362834965662024,0.7026662936467516,58,-0.1061,FALSE,FALSE,None
133,17.292425748379316,IDN,3.4410451593264164,0.7036399792948242,59,-0.0471,FALSE,FALSE,None
133,16.437167729954748,IND,3.438029045403871,0.7030232311152025,60,-0.9024,FALSE,FALSE,None
133,17.18481971807252,IRL,3.4330831535520385,0.702011873495909,61,-0.1547,FALSE,FALSE,None
133,16.42522473574541,IRN,3.4156926213672207,0.6984557813378954,62,-0.9143,FALSE,FALSE,None
133,17.29693083711029,IRQ,3.4414711501837814,0.7037270877703534,63,-0.0426,FALSE,FALSE,None
133,17.337981078402986,ISL,3.446412793405306,0.7047375766111208,64,-0.0015,FALSE,FALSE,None
133,17.113212973327155,ISR,3.4290976030181897,0.7011968906737525,65,-0.2263,FALSE,FALSE,None
133,16.383942097146967,ITA,3.417279315893276,0.6987802355812334,66,-0.9556,FALSE,TRUE,Significant Decrease
133,17.337981078402986,JAM,3.446412793405306,0.7047375766111208,67,-0.0015,FALSE,FALSE,None
133,17.292425748379316,JOR,3.4410451593264164,0.7036399792948242,68,-0.0471,FALSE,FALSE,None
133,16.358239899023136,JPN,3.4191700914311136,0.6991668696411466,69,-0.9813,FALSE,TRUE,Significant Decrease
133,17.32267124126343,KAZ,3.4442207262355606,0.704289333119241,70,-0.0168,FALSE,FALSE,None
133,17.337981078402986,KEN,3.446412793405306,0.7047375766111208,71,-0.0015,FALSE,FALSE,None
133,16.383942097146967,KOR,3.417279315893276,0.6987802355812334,72,-0.9556,FALSE,TRUE,Significant Decrease
133,17.325723212429473,KWT,3.444600409644824,0.7043669724450454,73,-0.0138,FALSE,FALSE,None
133,17.336444468514948,LAO,3.4461381442438546,0.7046814151481556,74,-0.0031,FALSE,FALSE,None
133,17.283449102371883,LBN,3.440230510397204,0.7034733963151938,75,-0.0561,FALSE,FALSE,None
133,17.321147128270123,LKA,3.444037126061671,0.7042517897518707,76,-0.0184,FALSE,FALSE,None
133,17.30295502694897,LTU,3.4420615231983214,0.7038478098290574,77,-0.0366,FALSE,FALSE,None
133,17.32267124126343,LUX,3.4442207262355606,0.704289333119241,78,-0.0168,FALSE,FALSE,None
133,17.315063153021086,LVA,3.4433369621900978,0.7041086171780493,79,-0.0245,FALSE,FALSE,None
133,17.271549693475823,MAR,3.4392102191761698,0.7032647626994164,80,-0.068,FALSE,FALSE,None
133,17.336444468514948,MDA,3.4461381442438546,0.7046814151481556,81,-0.0031,FALSE,FALSE,None
133,17.337981078402986,MDV,3.446412793405306,0.7047375766111208,82,-0.0015,FALSE,FALSE,None
133,16.99204153569797,MEX,3.4237174936169787,0.7000967423489298,83,-0.3475,FALSE,FALSE,None
133,17.336444468514948,MLT,3.4461381442438546,0.7046814151481556,84,-0.0031,FALSE,FALSE,None
133,17.337981078402986,MMR,3.446412793405306,0.7047375766111208,85,-0.0015,FALSE,FALSE,None
133,17.336444468514948,MNE,3.4461381442438546,0.7046814151481556,86,-0.0031,FALSE,FALSE,None
133,17.337981078402986,MNG,3.446412793405306,0.7047375766111208,87,-0.0015,FALSE,FALSE,None
133,17.336444468514948,MOZ,3.4461381442438546,0.7046814151481556,88,-0.0031,FALSE,FALSE,None
133,17.083903492535146,MYS,3.4276580266197354,0.700902519789239,89,-0.2556,FALSE,FALSE,None
133,17.337981078402986,NER,3.446412793405306,0.7047375766111208,90,-0.0015,FALSE,FALSE,None
133,17.292425748379316,NGA,3.4410451593264164,0.7036399792948242,91,-0.0471,FALSE,FALSE,None
133,17.337981078402986,NIC,3.446412793405306,0.7047375766111208,92,-0.0015,FALSE,FALSE,None
133,17.02197400975629,NLD,3.424914235778399,0.7003414574255107,93,-0.3175,FALSE,FALSE,None
133,17.22041947592697,NOR,3.4353779619208327,0.7024811259579778,94,-0.1191,FALSE,FALSE,None
133,17.33337500171059,NPL,3.445650290637229,0.7045816567068186,95,-0.0061,FALSE,FALSE,None
133,17.207515357967527,NZL,3.434517053734379,0.7023050836829007,96,-0.132,FALSE,FALSE,None
133,17.3303105367795,OMN,3.4452087970199097,0.7044913781590618,97,-0.0092,FALSE,FALSE,None
133,17.15274228209933,PAK,3.4312066994665495,0.7016281679492722,98,-0.1868,FALSE,FALSE,None
133,17.33490910972206,PAN,3.445886688942239,0.7046299964671939,99,-0.0046,FALSE,FALSE,None
133,17.327251071222022,PER,3.4447973929456768,0.7044072524528093,100,-0.0123,FALSE,FALSE,None
133,17.318102645917257,PHL,3.4436807079213074,0.7041789078101078,101,-0.0214,FALSE,FALSE,None
133,17.337981078402986,PNG,3.446412793405306,0.7047375766111208,102,-0.0015,FALSE,FALSE,None
133,16.834209680213913,POL,3.41860862190117,0.6990520578935142,103,-0.5053,FALSE,FALSE,None
133,17.32878017923497,PRK,3.4449999224427352,0.7044486665710549,104,-0.0107,FALSE,FALSE,None
133,17.02323609021919,PRT,3.424966457763689,0.7003521360056941,105,-0.3163,FALSE,FALSE,None
133,17.3303105367795,PSE,3.4452087970199097,0.7044913781590618,106,-0.0092,FALSE,FALSE,None
133,17.286436352869337,QAT,3.4404969168636708,0.7035278722758014,107,-0.0531,FALSE,FALSE,None
133,17.258257563157986,ROU,3.438137162915045,0.7030453394572327,108,-0.0813,FALSE,FALSE,None
133,16.795353975463655,RUS,3.417639880553544,0.6988539654215401,109,-0.5442,FALSE,FALSE,None
133,17.337981078402986,RWA,3.446412793405306,0.7047375766111208,110,-0.0015,FALSE,FALSE,None
133,17.102487437656247,SAU,3.428559339198281,0.7010868241313041,111,-0.237,FALSE,FALSE,None
133,17.336444468514948,SDN,3.4461381442438546,0.7046814151481556,112,-0.0031,FALSE,FALSE,None
133,17.331842144167307,SEN,3.445425085228655,0.7045356057189096,113,-0.0077,FALSE,FALSE,None
133,17.078637142422558,SGP,3.4274095438899392,0.700851708952777,114,-0.2609,FALSE,FALSE,None
133,17.249451751485612,SRB,3.4374593017375803,0.7029067274359452,115,-0.0901,FALSE,FALSE,None
133,17.284942107263593,SVK,3.4403631013358535,0.7035005090908204,116,-0.0546,FALSE,FALSE,None
133,17.267107851266335,SVN,3.4388444337674677,0.7031899652976131,117,-0.0724,FALSE,FALSE,None
133,17.105161577420933,SWE,3.428692270591082,0.7011140065244862,118,-0.2344,FALSE,FALSE,None
133,17.33337500171059,SYR,3.445650290637229,0.7045816567068186,119,-0.0061,FALSE,FALSE,None
133,17.337981078402986,TGO,3.446412793405306,0.7047375766111208,120,-0.0015,FALSE,FALSE,None
133,17.094493968826217,THA,3.4281669011160054,0.7010065766741214,121,-0.245,FALSE,FALSE,None
133,17.337981078402986,TTO,3.446412793405306,0.7047375766111208,122,-0.0015,FALSE,FALSE,None
133,17.22474294535897,TUN,3.435674594774025,0.7025417827424761,123,-0.1148,FALSE,FALSE,None
133,16.71117853601643,TUR,3.415932325024994,0.6985047969912749,124,-0.6283,FALSE,FALSE,None
133,16.90519366211956,TWN,3.420668253707109,0.69947322042239235,125,-0.4343,FALSE,FALSE,None
133,17.277489484024027,UKR,3.4397117537803763,0.7033673186910352,126,-0.062,FALSE,FALSE,None
133,17.32878017923497,URY,3.4449999224427352,0.7044486665710549,127,-0.0107,FALSE,FALSE,None
133,25.479947793596736,USA,3.6187181778693303,0.7399713359903164,128,8.1404,TRUE,FALSE,Significant Increase
133,17.336444468514948,UZB,3.4461381442438546,0.7046814151481556,129,-0.0031,FALSE,FALSE,None
133,17.321147128270123,VEN,3.444037126061671,0.7042517897518707,130,-0.0184,FALSE,FALSE,None
133,17.22041947592697,VNM,3.4353779619208327,0.7024811259579778,131,-0.1191,FALSE,FALSE,None
133,17.337981078402986,XKX,3.446412793405306,0.7047375766111208,132,-0.0015,FALSE,FALSE,None
133,17.33490910972206,YEM,3.445886688942239,0.7046299964671939,133,-0.0046,FALSE,FALSE,None
133,17.163826561719134,ZAF,3.431836915814729,0.7017570373472755,134,-0.1757,FALSE,FALSE,None
